 ,Label,lumMean,lumSD,area,vsMean,vsSD,swMean,swSD,mwMean,mwSD,lwMean,lwSD,dblMean,dblSD
1,000_Citrus_MeanLog,4038.322833,2291.8925,4824058.333,3355.923667,1332.955,3186.457667,1745.013167,4258.166,2242.9615,4263.2755,2754.519333,4038.322833,2291.8925
2,000_Citrus_MeanLeaf,5815.002407,1294.997284,2293048.869,2282.028716,482.859556,3300.239966,774.4803657,6916.178922,1436.417608,4971.398746,1262.297892,5815.002407,1294.997284
3,000_Citrus_MeanLeafOCT,4603.780216,823.7811098,1044597.656,2483.871272,449.9975073,2949.916941,553.823104,5364.90723,909.0142784,4080.94475,842.4822224,4603.780216,823.7811098
4,001_Citrus_Leaf,7076.45,1818.487,2408738,2403.805,806.664,3901.245,1208.183,8335.34,1987.971,6191.36,1734.482,7076.45,1818.487
5,001_Citrus_Pronotum,6259.484,895.704,4793,2397.107,394.687,3521.096,567.063,7116.289,893.637,6009.727,1098.306,6259.484,895.704
6,001_Citrus_Dot,6596.563,1808.531,846,2809.104,379.172,3963.529,909.671,7277.446,1917.35,6657.871,1984.36,6596.563,1808.531
7,001_Citrus_Abdomen,8222.678,1414.886,44845,2987.907,526.852,4631.767,821.421,8990.811,1388.282,8495.85,1799.502,8222.678,1414.886
8,001_Citrus_AvLeaf,7853.141,2072.801,1021245,2752.183,928.062,4424.346,1385.819,9187.926,2264.949,6907.347,1968.755,7853.141,2072.801
9,002_Citrus_Leaf,7660.309,2196.292,2193253,2563.958,1022.812,4211.79,1516.083,8968.859,2386.911,6776.219,2092.556,7660.309,2196.292
10,002_Citrus_Pronotum,8541.588,1315.728,21144,3574.566,590.872,4781.213,777.277,8802.929,1199.067,9879.599,1882.318,8541.588,1315.728
11,002_Citrus_Dot,3520.515,349.565,683,3157.044,322.072,2929.904,305.205,3884.374,386.899,3351.303,409.522,3520.515,349.565
12,002_Citrus_Abdomen,10943.127,1392.727,99676,3961.398,560.603,5842.816,759.112,11135.389,1319.702,12965.379,2060.231,10943.127,1392.727
13,002_Citrus_AvLeaf,9157.8,2633.303,829861,3268.471,1253.52,5268.119,1835.25,10586.814,2866.748,8191.679,2484.485,9157.8,2633.303
14,003_Citrus_Leaf,7414.883,1809.367,2282280,2454.749,913.759,4048.928,1289.897,8693.001,1960.198,6561.968,1725.162,7414.883,1809.367
15,003_Citrus_Pronotum,4851.25,525.18,15404,2156.574,216.574,2728.639,270.02,5380.936,553.907,5006.64,662.445,4851.25,525.18
16,003_Citrus_Dot,1684.754,348.662,1113,1566.512,156.335,1261.099,166.621,2136.055,375.041,1304.694,417.449,1684.754,348.662
17,003_Citrus_Abdomen,5541.492,602.595,93782,2177.482,254.881,3033.794,308.751,6187.074,630.802,5624.832,766.69,5541.492,602.595
18,003_Citrus_AvLeaf,8502.48,1927.473,858836,3038.182,971.903,4858.962,1362.647,9869.046,2099.893,7568.89,1819.951,8502.48,1927.473
19,004_Citrus_Leaf,5470.621,1840.244,2035928,2079.308,653.616,3033.831,1088.598,6503.158,2028.17,4739.211,1778.625,5470.621,1840.244
20,004_Citrus_Pronotum,4947.502,579.997,17310,2063.543,237.259,2695.325,294.415,5550.873,596.312,5006.736,764.573,4947.502,579.997
21,004_Citrus_Dot,1897.324,318.989,1190,1831.832,208.159,1502.76,237.76,2328.391,342.662,1538.789,367.984,1897.324,318.989
22,004_Citrus_Abdomen,6582.183,940.872,92254,2268.618,310.068,3279.904,434.692,6873.918,932.712,7709.192,1276.887,6582.183,940.872
23,004_Citrus_AvLeaf,5883.785,2188.754,1011798,2236.568,751.04,3291.223,1278.014,6962.591,2412.266,5118.008,2115.857,5883.785,2188.754
24,005_Citrus_Leaf,5054.226,1509.835,2319595,1855.53,523.213,2733.403,883.724,6076.711,1669.463,4301.17,1458.235,5054.226,1509.835
25,005_Citrus_Pronotum,8033.225,1098.548,7071,3163.92,528.717,4647.201,713.235,9015.724,1155.317,7767.846,1203.563,8033.225,1098.548
26,005_Citrus_Dot,6898.996,1785.874,728,3278.951,262.453,4316.266,760.957,7738.352,1977.898,6590.573,1839.382,6898.996,1785.874
27,005_Citrus_Abdomen,9434.271,1492.342,44948,3820.465,644.374,5569.302,956.501,10224.828,1540.367,9741.089,1690.801,9434.271,1492.342
28,005_Citrus_AvLeaf,4755.793,2304.173,659310,1943.941,811.118,2689.113,1385.576,5726.071,2531.159,3999.278,2217.664,4755.793,2304.173
