ID,Ocu_W,Instar,Bod_L,Thickness_mm,Weight_g,I5_Shape,Area,note,colour_by_eye
1,1.933,3,9.372,0.52,0.01168,NA,41.282,none,u
2,2.46,4,14.138,1.41,0.0607,NA,95.714,none,u
3,2.448,4,13.744,1.97,0.08748,NA,92.893,none,u
4,2.463,4,13.524,1.45,0.06268,NA,90.645,none,u
5,1.988,3,9.306,1.1,0.02078,NA,42.31,none,u
6,2.308,4,11.358,1.09,0.03256,NA,63.386,none,u
7,2.597,4,13.69,1.54,0.06242,NA,94.287,none,u
8,2.411,4,13.067,1.32,0.05313,NA,84.935,none,u
9,2.471,4,13.99,2.62,0.1237,NA,96.086,none,u
10,2.4,4,12.23,1.83,0.06485,NA,75.119,none,u
11,2.424,4,12.96,1.77,0.07289,NA,89.593,none,u
12,2.429,4,12.838,1.84,0.07988,NA,84.058,none,u
13,2.437,4,12.588,1.78,0.06517,NA,79.694,none,u
14,2.516,4,15.167,2.88,0.16036,NA,116.287,none,u
15,2.468,4,13.698,2.54,0.10746,NA,93.668,none,u
16,2.837,5,17.69,2.3,0.15392,1,164.101,none,u
17,2.422,4,13.934,3.64,0.13353,NA,99.387,none,u
18,2.841,5,16.225,2.47,0.15715,1,137.334,none,u
19,2.998,5,20.845,5.38,0.55109,2,228.624,none,u
20,2.88,5,17.329,2.13,0.1544,1,149.433,none,u
21,2.478,4,14.083,2.32,0.10725,NA,98.638,none,u
22,2.454,4,13.625,2.12,0.09897,NA,98.739,none,u
23,2.472,4,14.495,2.86,0.1494,NA,106.476,none,u
24,2.777,5,16.684,2.11,0.15521,1,149.208,none,u
25,2.896,5,17.05,2.01,0.13703,1,141.715,none,u
26,2.483,4,13.576,2.02,0.09923,NA,86.97,none,u
29,2.984,5,17.945,1.37,0.09345,1,161.604,none,u
30,2.921,5,18.472,2.55,0.20113,1,166.832,none,u
31,2.949,5,18.765,2.94,0.22987,1,180.834,none,u
32,3.061,5,18.922,2.15,0.18245,2,200.189,none,u
33,2.941,5,17.633,2.06,0.14142,1,159.09,none,u
34,3.069,5,20.82,3.73,0.36818,1,222.639,none,u
35,2.812,5,18.032,2.64,0.2005,1,163.474,none,u
36,2.906,5,16.231,2.01,0.13217,1,141.354,none,u
37,2.918,5,17.665,1.73,0.12464,1,163.807,none,u
38,3.003,5,18.564,1.78,0.15351,1,169.952,none,u
39,2.921,5,19.573,4.38,0.34612,2,196.989,none,u
40,3.002,5,20.253,2.92,0.32224,2,215.197,none,u
41,2.85,5,18.547,2.82,0.27323,1,173.885,none,u
42,2.935,5,16.766,1.18,0.1043,1,141.425,none,u
43,2.887,5,19.517,3.13,0.26792,2,186.298,none,u
44,2.975,6,23.442,6.18,0.2906,NA,236.117,none,u
45,3.085,6,23.718,5.78,0.32455,NA,235.299,none,u
46,3.312,6,25.803,7.01,0.49847,NA,313.151,none,u
47,3.296,6,25.883,6.56,0.4369,NA,290.331,none,u
48,3.295,6,24.504,6.54,0.387439,NA,263.828,none,u
49,3.235,6,24.777,6.46,0.33135,NA,259.491,none,u
52,2.933,5,17.297,2.59,0.20967,1,154.966,none,u
53,2.458,4,13.615,1.79,0.08893,NA,89.489,none,u
54,2.894,5,16.718,2.16,0.20607,1,145.566,none,u
55,2.862,5,16.115,1.94,0.13368,1,129.334,none,u
56,2.873,5,20.462,4.47,0.62316,2,204.72,none,u
57,3.007,5,21.079,3.97,0.57339,2,216.618,none,u
58,2.835,5,15.828,NA,NA,1,131.548,none,u
59,2.825,5,16.535,NA,NA,1,140.385,none,u
60,2.481,4,13.332,1.84,0.09368,NA,95.438,none,u
61,2.402,4,13.327,1.87,0.09419,NA,91.014,none,u
62,2.459,4,12.98,1.55,0.06822,NA,84.127,none,u
63,2.408,4,12.43,1.39,0.05723,NA,76.975,none,u
64,2.455,4,13.538,1.54,0.0887,NA,95.841,none,u
65,3.031,5,20.827,4.4,0.63603,2,218.104,none,u
66,2.973,5,20.018,4.28,0.5004,2,193.876,none,u
67,2.871,5,20.337,5.63,0.61521,2,206.5,none,u
68,2.931,5,18.655,4.96,0.50541,2,171.349,none,u
